1,25.048524,1718.431681,0.011505,10.554027,-0.013947,8.498835,-0.005280,3.220582
1,25.790087,1759.736608,-0.035583,10.866686,0.022095,9.621312,0.003967,3.315030
1,33.685213,2013.479993,0.013947,11.126293,0.054291,10.020312,-0.014069,3.329441
1,50.143900,2771.327216,-0.041443,8.565117,-0.029907,8.148613,0.001526,1.489167
1,50.220302,2719.131142,-0.021240,8.801426,-0.054810,8.642561,-0.001282,1.632167
1,50.655009,2685.091857,0.062561,9.063887,-0.049438,9.149665,0.001709,1.828191
3,58.099639,2612.210567,0.015442,8.299889,-0.021667,9.890013,-0.000916,2.093320
3,58.294400,2625.246125,0.002838,8.441601,0.023956,10.050926,-0.000397,2.095327
3,57.642115,2619.446717,0.009888,8.593803,0.004028,9.988269,-0.000610,2.175925
3,57.575535,2632.718943,-0.015625,8.034901,-0.022217,10.236924,-0.000061,2.089197
3,55.185133,2540.741651,-0.005371,8.285413,-0.004211,9.928591,-0.003113,2.141656
3,54.307660,2501.454298,-0.001465,8.093297,0.009644,9.862317,-0.000732,2.119953
0,41.743647,2189.992397,0.013062,9.571914,0.011536,11.005616,-0.003662,3.019607
0,27.801333,1769.761048,0.015808,9.794223,0.043579,11.017270,-0.028442,4.052660
0,28.660905,1796.346579,-0.036591,9.782744,-0.023529,10.574702,-0.000885,3.979123
0,28.959300,1807.748537,0.012970,10.022844,-0.035370,10.626684,0.002289,3.827006
0,28.742264,1803.319960,0.028900,10.913874,-0.047760,10.555592,0.021027,3.881916
0,29.323486,1818.592950,-0.008575,10.445051,0.067047,10.565302,-0.012238,3.993145
4,38.520583,2158.534922,0.020905,10.530603,-0.013824,9.114645,0.007965,3.606869
4,38.278019,2138.313968,-0.000641,11.059733,-0.014496,9.289059,-0.008942,3.532822
4,38.587776,2149.083905,-0.029358,11.409968,-0.017029,9.196737,0.009583,3.556486
4,38.598436,2145.310602,0.008789,11.544392,0.021545,9.738432,0.005432,3.782997
4,37.785738,2087.306191,0.005554,11.401627,0.014465,9.902188,0.012146,3.792078
