1,-444.813964,25.048524,1718.431681,2953007.440993,312.317058,16112.000000,14006.000000,-5.500000,0.011505,10.554027,111.387487,2.677460,746.000000,742.000000,-3.500000,-0.013947,8.498835,72.230198,2.100311,1072.000000,1042.000000,-2.000000,-0.005280,3.220582,10.372149,0.817474,1566.000000,1584.000000
1,-506.184974,25.790087,1759.736608,3096672.929785,333.024388,16489.000000,14617.000000,-5.500000,-0.035583,10.866686,118.084854,2.753357,752.000000,826.000000,-3.500000,0.022095,9.621312,92.569641,2.332031,1112.000000,1112.000000,-2.000000,0.003967,3.315030,10.989425,0.862671,1558.000000,1554.000000
1,-678.066940,33.685213,2013.479993,4054101.682116,421.446398,20142.000000,16750.000000,-7.000000,0.013947,11.126293,123.794407,3.059662,926.000000,930.000000,-5.500000,0.054291,10.020312,100.406644,2.701813,1274.000000,1276.000000,-2.500000,-0.014069,3.329441,11.085175,0.917999,1896.000000,1910.000000
1,-396.957600,50.143900,2771.327216,7680254.539009,396.683031,18105.000000,10185.000000,-7.000000,-0.041443,8.565117,73.361228,2.581116,908.000000,960.000000,-6.000000,-0.029907,8.148613,66.399893,2.380981,1338.000000,1344.000000,-1.500000,0.001526,1.489167,2.217619,0.455933,1968.000000,1946.000000
1,-505.495124,50.220302,2719.131142,7393674.165909,415.974979,20317.000000,13135.000000,-7.000000,-0.021240,8.801426,77.465095,2.721741,1126.000000,1200.000000,-6.000000,-0.054810,8.642561,74.693865,2.531311,1592.000000,1570.000000,-1.500000,-0.001282,1.632167,2.663969,0.527100,2260.000000,2244.000000
1,-555.560358,50.655009,2685.091857,7209718.278156,435.807960,22258.000000,14545.000000,-7.500000,0.062561,9.063887,82.154045,2.814758,1336.000000,1330.000000,-7.000000,-0.049438,9.149665,83.716367,2.795044,1856.000000,1818.000000,-2.000000,0.001709,1.828191,3.342282,0.612244,2530.000000,2492.000000
3,-769.827405,58.099639,2612.210567,6823644.048619,486.496164,30237.000000,19556.000000,-9.000000,0.015442,8.299889,68.888159,3.222473,1914.000000,1906.000000,-10.500000,-0.021667,9.890013,97.812366,3.713806,2820.000000,2804.000000,-2.500000,-0.000916,2.093320,4.381988,0.815369,3410.000000,3374.000000
3,-800.346332,58.294400,2625.246125,6891917.218827,495.151770,30860.000000,20037.000000,-9.000000,0.002838,8.441601,71.260627,3.217804,1818.000000,1822.000000,-10.500000,0.023956,10.050926,101.021109,3.719025,2774.000000,2770.000000,-2.500000,-0.000397,2.095327,4.390396,0.819427,3410.000000,3402.000000
3,-790.477645,57.642115,2619.446717,6861501.103666,492.197927,30690.000000,20409.000000,-9.500000,0.009888,8.593803,73.853448,3.219849,1860.000000,1862.000000,-10.500000,0.004028,9.988269,99.765517,3.706421,2788.000000,2792.000000,-2.500000,-0.000610,2.175925,4.734649,0.835205,3284.000000,3332.000000
3,-782.474368,57.575535,2632.718943,6931209.031182,493.685770,30018.000000,19898.000000,-9.000000,-0.015625,8.034901,64.559631,3.085815,1790.000000,1826.000000,-10.500000,-0.022217,10.236924,104.794611,3.714844,2622.000000,2638.000000,-2.500000,-0.000061,2.089197,4.364746,0.807861,3210.000000,3258.000000
3,-768.787908,55.185133,2540.741651,6455368.135477,479.968711,28396.000000,19339.000000,-8.500000,-0.005371,8.285413,68.648073,3.033691,1754.000000,1790.000000,-10.000000,-0.004211,9.928591,98.576917,3.567749,2656.000000,2708.000000,-2.000000,-0.003113,2.141656,4.586691,0.796021,3230.000000,3256.000000
3,-765.976604,54.307660,2501.454298,6257273.603567,473.430436,27223.000000,19226.000000,-8.500000,-0.001465,8.093297,65.501463,2.953796,1818.000000,1826.000000,-9.500000,0.009644,9.862317,97.265288,3.562317,2722.000000,2712.000000,-2.000000,-0.000732,2.119953,4.494201,0.790955,3356.000000,3268.000000
0,-713.428843,41.743647,2189.992397,4796066.698015,393.045187,24305.000000,20361.000000,-8.500000,0.013062,9.571914,91.621533,3.212280,1754.000000,1746.000000,-9.000000,0.011536,11.005616,121.123585,3.428406,2622.000000,2624.000000,-3.000000,-0.003662,3.019607,9.118029,1.013733,3150.000000,3148.000000
0,-533.015216,27.801333,1769.761048,3132054.168399,283.316935,14542.000000,13892.000000,-7.500000,0.015808,9.794223,95.926813,2.791138,1406.000000,1408.000000,-7.500000,0.043579,11.017270,121.380242,2.991028,2040.000000,2048.000000,-3.000000,-0.028442,4.052660,16.424057,1.160583,2408.000000,2420.000000
0,-525.021504,28.660905,1796.346579,3226861.031508,279.544090,14886.000000,13620.000000,-8.000000,-0.036591,9.782744,95.702076,2.861786,1418.000000,1454.000000,-7.000000,-0.023529,10.574702,111.824321,2.910980,2072.000000,2086.000000,-3.000000,-0.000885,3.979123,15.833419,1.149872,2462.000000,2440.000000
0,-514.650694,28.959300,1807.748537,3267954.773864,278.854919,15048.000000,13959.000000,-8.500000,0.012970,10.022844,100.457397,2.991730,1428.000000,1422.000000,-7.000000,-0.035370,10.626684,112.926407,2.906281,2108.000000,2104.000000,-3.000000,0.002289,3.827006,14.645976,1.112579,2400.000000,2400.000000
0,-496.625164,28.742264,1803.319960,3251962.879640,271.405499,14777.000000,13418.000000,-9.000000,0.028900,10.913874,119.112644,3.155914,1424.000000,1428.000000,-6.500000,-0.047760,10.555592,111.420525,2.871246,2112.000000,2108.000000,-3.000000,0.021027,3.881916,15.069275,1.116486,2412.000000,2402.000000
0,-501.901230,29.323486,1818.592950,3307280.316202,273.228271,14477.000000,13443.000000,-9.000000,-0.008575,10.445051,109.099093,3.143890,1408.000000,1416.000000,-6.500000,0.067047,10.565302,111.625616,2.913300,2120.000000,2118.000000,-3.000000,-0.012238,3.993145,15.945209,1.166779,2492.000000,2474.000000
4,-472.254124,38.520583,2158.534922,4659273.010734,282.727050,14866.000000,13043.000000,-10.000000,0.020905,10.530603,110.893591,3.479828,1750.000000,1746.000000,-7.500000,-0.013824,9.114645,83.076759,2.818878,2594.000000,2576.000000,-3.000000,0.007965,3.606869,13.009504,1.143036,3008.000000,3006.000000
4,-477.084658,38.278019,2138.313968,4572386.627544,290.515133,14854.000000,13024.000000,-10.500000,-0.000641,11.059733,122.317703,3.636322,1782.000000,1758.000000,-7.500000,-0.014496,9.289059,86.286609,2.842255,2562.000000,2532.000000,-3.000000,-0.008942,3.532822,12.480831,1.148834,3026.000000,3016.000000
4,-488.121742,38.587776,2149.083905,4618561.631612,294.127127,15403.000000,13267.000000,-11.500000,-0.029358,11.409968,130.187371,3.779358,1732.000000,1716.000000,-8.000000,-0.017029,9.196737,84.579971,2.907715,2580.000000,2622.000000,-3.000000,0.009583,3.556486,12.648590,1.170471,3020.000000,3006.000000
